ページ名,ファイルパス,ページタイトル,セクション,機能・要件,データ項目,操作・インタラクション,遷移先
文書管理,(本CSV・HTML),要件定義書 user_site,版管理・同期,2026年2月17日作成。2026年4月8日更新で requirements_specification.html と整合（index・フッターメニュー・業務フロー・管理画面導線注記等）,—,—,—
ルート（入口）,../index.html,モックアップ入口,USER SITE・業務フロー,USER SITE（緑）→ login.html。SYSTEM USER（管理）は ../system_user_cms/user_login.html。業務フロー→ business_flow.html（ルート）。要件HTML/CSVは各ボタン下のリンク,USER SITE / SYSTEM USER / 業務フロー / 要件DL,クリック,login.html 等
業務フロー,../business_flow.html,業務フロー,全体,4列レイアウトの業務フロー図（モック）,—,index から遷移,—
ログイン,login.html,ログイン（受付・VIP管理）,ヘッダー,タイトルバー「ログイン」（ブランド色・タブなし）,-,-,login.html
ログイン,login.html,ログイン（受付・VIP管理）,ログインカード×2,受付アプリ・VIP管理アプリそれぞれ メールアドレスのみ・ログインボタン（パスワードなし）,メールアドレス（email）/ログインボタン×2,各ログインボタンでバリデーションなし遷移。?app=vip でVIPカードへスクロール,site_project_list.html または site_project_list_vip.html
イベントリスト,site_project_list.html,イベントリスト（受付アプリ）,ヘッダー,アプリタイトル（黒背景・白文字）・右端ログアウトアイコン（../index.html）,イベント入退場受付アプリ/ログアウト,-,-
イベントリスト,site_project_list.html,イベントリスト（受付アプリ）,見出し,ページ内「イベントリスト」,小さめ・font-weight通常,-,-
イベントリスト,site_project_list.html,イベントリスト（受付アプリ）,イベントテーブル,VIP一覧と同構造（caption黒背景・白字でイベント名のみ・画像・ステータスタブ・ベルなし・終了は先頭グレー）,開催日時/開催場所/担当/登録・入室を行で縦並び（2列・横スクロール不要）,ブロッククリックで詳細遷移,site_project_detail.html
イベントリスト（VIP）,site_project_list_vip.html,イベントリスト（VIP管理アプリ）,ヘッダー,VIP管理アプリ見出し（h4）・右端ログアウトアイコン（../index.html）・ベル・バッジなし,VIP管理アプリ/ログアウト,-,-
イベントリスト（VIP）,site_project_list_vip.html,イベントリスト（VIP管理アプリ）,見出し,ページ内「イベントリスト」,小さめ・font-weight通常,-,-
イベントリスト（VIP）,site_project_list_vip.html,イベントリスト（VIP管理アプリ）,イベントテーブル,イベントごとに独立テーブル（captionは黒背景・白字でイベント名のみ・ベル・バッジなし）,開催日時/開催場所/担当/登録・入室を行で縦並び（2列・横スクロール不要）,ブロッククリックで詳細遷移,site_project_detail_vip.html
イベント概要,site_project_detail.html,イベントトップ（受付アプリ）,ヘッダー,イベント入退場受付アプリ（ブランド色）/イベントリストへ戻る（受付QRなし）,アプリタイトル/リストアイコン,リスト→一覧,-
イベント概要,site_project_detail.html,イベントトップ（受付アプリ）,イベント概要カード,先頭タイトルが黒背景のイベント名・下に来場サマリ（2vと同様）,イベント名/開催日時/来場予定/来場実績,-,-
イベント概要,site_project_detail.html,イベントトップ（受付アプリ）,プログラムカード,黒背景タイトル「プログラム」・2vと同形式の表・各行クリックで遷移,時間/ROOM/種別（バッジ）/予定・入室・退室,行クリック,site_read_keynote.html
イベント概要（VIP）,site_project_detail_vip.html,イベント概要（VIP管理アプリ）,メイン,ヘッダー中央「VIP管理アプリ」・右端にVIP来場（リストアイコン左）・イベントリストへ戻る／概要カード先頭は黒背景白字でイベント名（バナーなし・担当者なし・フッターsite_footer_vip・受付QRなし）,開催日時/来場予定数/来場数実績,VIP→お知らせ/リスト→一覧,-
